Band,Wavelength,Flag
band_1,0.3827,0
band_2,0.3877,0
band_3,0.3927,0
band_4,0.3977,0
band_5,0.4027,0
band_6,0.4077,0
band_7,0.4127,0
band_8,0.4177,0
band_9,0.4227,0
band_10,0.4277,0
band_11,0.4328,0
band_12,0.4378,0
band_13,0.4428,0
band_14,0.4478,0
band_15,0.4528,0
band_16,0.4578,0
band_17,0.4628,0
band_18,0.4678,0
band_19,0.4728,0
band_20,0.4778,0
band_21,0.4829,0
band_22,0.4879,0
band_23,0.4929,0
band_24,0.4979,0
band_25,0.5029,1
band_26,0.5079,1
band_27,0.5129,1
band_28,0.5179,1
band_29,0.5229,1
band_30,0.5279,1
band_31,0.5329,1
band_32,0.538,1
band_33,0.543,1
band_34,0.548,1
band_35,0.553,1
band_36,0.558,1
band_37,0.563,1
band_38,0.568,1
band_39,0.573,1
band_40,0.578,1
band_41,0.5831,1
band_42,0.5881,1
band_43,0.5931,1
band_44,0.5981,1
band_45,0.6031,1
band_46,0.6081,1
band_47,0.6131,1
band_48,0.6181,1
band_49,0.6231,1
band_50,0.6281,1
band_51,0.6331,1
band_52,0.6381,1
band_53,0.6432,1
band_54,0.6482,1
band_55,0.6532,1
band_56,0.6582,1
band_57,0.6632,1
band_58,0.6682,1
band_59,0.6732,1
band_60,0.6782,1
band_61,0.6832,1
band_62,0.6883,1
band_63,0.6933,1
band_64,0.6983,1
band_65,0.7033,1
band_66,0.7083,1
band_67,0.7133,1
band_68,0.7183,1
band_69,0.7233,1
band_70,0.7283,1
band_71,0.7333,1
band_72,0.7383,1
band_73,0.7434,1
band_74,0.7484,1
band_75,0.7534,1
band_76,0.7584,1
band_77,0.7634,1
band_78,0.7684,1
band_79,0.7734,1
band_80,0.7784,1
band_81,0.7834,1
band_82,0.7884,1
band_83,0.7934,1
band_84,0.7985,1
band_85,0.8035,1
band_86,0.8085,1
band_87,0.8135,1
band_88,0.8185,1
band_89,0.8235,1
band_90,0.8285,1
band_91,0.8335,1
band_92,0.8385,1
band_93,0.8435,1
band_94,0.8486,1
band_95,0.8536,1
band_96,0.8586,1
band_97,0.8636,1
band_98,0.8686,1
band_99,0.8736,1
band_100,0.8786,1
band_101,0.8836,1
band_102,0.8886,1
band_103,0.8936,1
band_104,0.8986,1
band_105,0.9037,1
band_106,0.9087,1
band_107,0.9137,1
band_108,0.9187,1
band_109,0.9237,1
band_110,0.9287,1
band_111,0.9337,1
band_112,0.9387,1
band_113,0.9437,1
band_114,0.9487,1
band_115,0.9538,1
band_116,0.9588,1
band_117,0.9638,1
band_118,0.9688,1
band_119,0.9738,1
band_120,0.9788,1
band_121,0.9838,1
band_122,0.9888,1
band_123,0.9938,1
band_124,0.9988,1
band_125,1.0038,1
band_126,1.0089,1
band_127,1.0139,1
band_128,1.0189,1
band_129,1.0239,1
band_130,1.0289,1
band_131,1.0339,1
band_132,1.0389,1
band_133,1.0439,1
band_134,1.0489,1
band_135,1.0539,1
band_136,1.0589,1
band_137,1.064,1
band_138,1.069,1
band_139,1.074,1
band_140,1.079,1
band_141,1.084,1
band_142,1.089,1
band_143,1.094,1
band_144,1.099,1
band_145,1.104,1
band_146,1.1091,1
band_147,1.1141,1
band_148,1.1191,1
band_149,1.1241,1
band_150,1.1291,1
band_151,1.1341,1
band_152,1.1391,1
band_153,1.1441,1
band_154,1.1491,1
band_155,1.1541,1
band_156,1.1591,1
band_157,1.1642,1
band_158,1.1692,1
band_159,1.1742,1
band_160,1.1792,1
band_161,1.1842,1
band_162,1.1892,1
band_163,1.1942,1
band_164,1.1992,1
band_165,1.2042,1
band_166,1.2092,1
band_167,1.2142,1
band_168,1.2193,1
band_169,1.2243,1
band_170,1.2293,1
band_171,1.2343,1
band_172,1.2393,1
band_173,1.2443,1
band_174,1.2493,1
band_175,1.2543,1
band_176,1.2593,1
band_177,1.2643,1
band_178,1.2694,1
band_179,1.2744,1
band_180,1.2794,1
band_181,1.2844,1
band_182,1.2894,1
band_183,1.2944,1
band_184,1.2994,1
band_185,1.3044,1
band_186,1.3094,1
band_187,1.3144,1
band_188,1.3195,1
band_189,1.3245,1
band_190,1.3295,1
band_191,1.3345,1
band_192,1.3395,1
band_193,1.3445,0
band_194,1.3495,0
band_195,1.3545,0
band_196,1.3595,0
band_197,1.3645,0
band_198,1.3695,0
band_199,1.3745,0
band_200,1.3796,0
band_201,1.3846,0
band_202,1.3896,0
band_203,1.3946,0
band_204,1.3996,0
band_205,1.4046,0
band_206,1.4096,0
band_207,1.4146,0
band_208,1.4196,0
band_209,1.4246,0
band_210,1.4296,0
band_211,1.4347,1
band_212,1.4397,1
band_213,1.4447,1
band_214,1.4497,1
band_215,1.4547,1
band_216,1.4597,1
band_217,1.4647,1
band_218,1.4697,1
band_219,1.4747,1
band_220,1.4798,1
band_221,1.4848,1
band_222,1.4898,1
band_223,1.4948,1
band_224,1.4998,1
band_225,1.5048,1
band_226,1.5098,1
band_227,1.5148,1
band_228,1.5198,1
band_229,1.5248,1
band_230,1.5298,1
band_231,1.5349,1
band_232,1.5399,1
band_233,1.5449,1
band_234,1.5499,1
band_235,1.5549,1
band_236,1.5599,1
band_237,1.5649,1
band_238,1.5699,1
band_239,1.5749,1
band_240,1.5799,1
band_241,1.5849,1
band_242,1.59,1
band_243,1.595,1
band_244,1.6,1
band_245,1.605,1
band_246,1.61,1
band_247,1.615,1
band_248,1.62,1
band_249,1.625,1
band_250,1.63,1
band_251,1.635,1
band_252,1.6401,1
band_253,1.6451,1
band_254,1.6501,1
band_255,1.6551,1
band_256,1.6601,1
band_257,1.6651,1
band_258,1.6701,1
band_259,1.6751,1
band_260,1.6801,1
band_261,1.6851,1
band_262,1.6902,1
band_263,1.6952,1
band_264,1.7002,1
band_265,1.7052,1
band_266,1.7102,1
band_267,1.7152,1
band_268,1.7202,1
band_269,1.7252,1
band_270,1.7302,1
band_271,1.7352,1
band_272,1.7402,1
band_273,1.7452,1
band_274,1.7503,1
band_275,1.7553,1
band_276,1.7603,1
band_277,1.7653,1
band_278,1.7703,1
band_279,1.7753,1
band_280,1.7803,1
band_281,1.7853,1
band_282,1.7903,1
band_283,1.7953,1
band_284,1.8004,0
band_285,1.8054,0
band_286,1.8104,0
band_287,1.8154,0
band_288,1.8204,0
band_289,1.8254,0
band_290,1.8304,0
band_291,1.8354,0
band_292,1.8404,0
band_293,1.8454,0
band_294,1.8505,0
band_295,1.8555,0
band_296,1.8605,0
band_297,1.8655,0
band_298,1.8705,0
band_299,1.8755,0
band_300,1.8805,0
band_301,1.8855,0
band_302,1.8905,0
band_303,1.8955,0
band_304,1.9006,0
band_305,1.9056,0
band_306,1.9106,0
band_307,1.9156,0
band_308,1.9206,0
band_309,1.9256,0
band_310,1.9306,0
band_311,1.9356,0
band_312,1.9406,0
band_313,1.9456,0
band_314,1.9506,0
band_315,1.9556,0
band_316,1.9607,1
band_317,1.9657,1
band_318,1.9707,1
band_319,1.9757,1
band_320,1.9807,1
band_321,1.9857,1
band_322,1.9907,1
band_323,1.9957,1
band_324,2.0007,1
band_325,2.0057,1
band_326,2.0108,1
band_327,2.0158,1
band_328,2.0208,1
band_329,2.0258,1
band_330,2.0308,1
band_331,2.0358,1
band_332,2.0408,1
band_333,2.0458,1
band_334,2.0508,1
band_335,2.0558,1
band_336,2.0608,1
band_337,2.0659,1
band_338,2.0709,1
band_339,2.0759,1
band_340,2.0809,1
band_341,2.0859,1
band_342,2.0909,1
band_343,2.0959,1
band_344,2.1009,1
band_345,2.1059,1
band_346,2.1109,1
band_347,2.116,1
band_348,2.121,1
band_349,2.126,1
band_350,2.131,1
band_351,2.136,1
band_352,2.141,1
band_353,2.146,1
band_354,2.151,1
band_355,2.156,1
band_356,2.161,1
band_357,2.166,1
band_358,2.1711,1
band_359,2.1761,1
band_360,2.1811,1
band_361,2.1861,1
band_362,2.1911,1
band_363,2.1961,1
band_364,2.2011,1
band_365,2.2061,1
band_366,2.2111,1
band_367,2.2162,1
band_368,2.2212,1
band_369,2.2262,1
band_370,2.2312,1
band_371,2.2362,1
band_372,2.2412,1
band_373,2.2462,1
band_374,2.2512,1
band_375,2.2562,1
band_376,2.2612,1
band_377,2.2662,1
band_378,2.2713,1
band_379,2.2763,1
band_380,2.2813,1
band_381,2.2863,1
band_382,2.2913,1
band_383,2.2963,1
band_384,2.3013,1
band_385,2.3063,1
band_386,2.3113,1
band_387,2.3163,1
band_388,2.3214,1
band_389,2.3264,1
band_390,2.3314,1
band_391,2.3364,1
band_392,2.3414,1
band_393,2.3464,1
band_394,2.3514,1
band_395,2.3564,1
band_396,2.3614,1
band_397,2.3664,1
band_398,2.3714,1
band_399,2.3765,1
band_400,2.3815,1
band_401,2.3865,1
band_402,2.3915,1
band_403,2.3965,1
band_404,2.4015,1
band_405,2.4065,1
band_406,2.4115,1
band_407,2.4165,1
band_408,2.4215,1
band_409,2.4265,1
band_410,2.4316,1
band_411,2.4366,1
band_412,2.4416,1
band_413,2.4466,1
band_414,2.4516,1
band_415,2.4566,1
band_416,2.4616,1
band_417,2.4666,1
band_418,2.4716,1
band_419,2.4766,1
band_420,2.4817,0
band_421,2.4867,0
band_422,2.4917,0
band_423,2.4967,0
band_424,2.5017,0
band_425,2.5067,0
band_426,2.5117,0
