crown_id,species,genus,species_id,genus_id
302,Quercus laevis,Quercus,QULA,QU
404,Pinus palustris,Pinus,PIPA,PI
482,Acer rubrum,Acer,ACRU,AC
199,Pinus palustris,Pinus,PIPA,PI
373,Liquidambar styraciflua,Liquidambar,LIST,LI
446,Pinus palustris,Pinus,PIPA,PI
554,Other species,Other,OTHER,OT
452,Pinus palustris,Pinus,PIPA,PI
262,Quercus geminata,Quercus,QUGE,QU
493,Pinus palustris,Pinus,PIPA,PI
254,Pinus palustris,Pinus,PIPA,PI
390,Pinus palustris,Pinus,PIPA,PI
287,Pinus palustris,Pinus,PIPA,PI
295,Quercus laevis,Quercus,QULA,QU
92,Quercus laevis,Quercus,QULA,QU
276,Pinus palustris,Pinus,PIPA,PI
561,Pinus taeda,Pinus,PITA,PI
241,Pinus palustris,Pinus,PIPA,PI
13,Pinus palustris,Pinus,PIPA,PI
121,Pinus palustris,Pinus,PIPA,PI
55,Pinus palustris,Pinus,PIPA,PI
99,Pinus palustris,Pinus,PIPA,PI
528,Pinus palustris,Pinus,PIPA,PI
492,Pinus palustris,Pinus,PIPA,PI
24,Quercus geminata,Quercus,QUGE,QU
622,Quercus nigra,Quercus,QUNI,QU
251,Pinus palustris,Pinus,PIPA,PI
473,Pinus palustris,Pinus,PIPA,PI
451,Pinus palustris,Pinus,PIPA,PI
110,Pinus palustris,Pinus,PIPA,PI
338,Pinus palustris,Pinus,PIPA,PI
168,Pinus palustris,Pinus,PIPA,PI
424,Pinus palustris,Pinus,PIPA,PI
274,Pinus palustris,Pinus,PIPA,PI
497,Pinus palustris,Pinus,PIPA,PI
369,Pinus palustris,Pinus,PIPA,PI
601,Pinus palustris,Pinus,PIPA,PI
228,Pinus palustris,Pinus,PIPA,PI
171,Quercus laevis,Quercus,QULA,QU
16,Pinus taeda,Pinus,PITA,PI
170,Pinus palustris,Pinus,PIPA,PI
354,Pinus palustris,Pinus,PIPA,PI
174,Quercus geminata,Quercus,QUGE,QU
378,Quercus laevis,Quercus,QULA,QU
297,Pinus taeda,Pinus,PITA,PI
463,Pinus palustris,Pinus,PIPA,PI
61,Pinus palustris,Pinus,PIPA,PI
283,Pinus palustris,Pinus,PIPA,PI
410,Other species,Other,OTHER,OT
83,Acer rubrum,Acer,ACRU,AC
153,Pinus palustris,Pinus,PIPA,PI
366,Pinus palustris,Pinus,PIPA,PI
71,Pinus taeda,Pinus,PITA,PI
472,Quercus laevis,Quercus,QULA,QU
4,Pinus palustris,Pinus,PIPA,PI
18,Other species,Other,OTHER,QU
574,Quercus laevis,Quercus,QULA,QU
517,Pinus palustris,Pinus,PIPA,PI
139,Quercus geminata,Quercus,QUGE,QU
527,Pinus palustris,Pinus,PIPA,PI
339,Quercus laevis,Quercus,QULA,QU
136,Pinus palustris,Pinus,PIPA,PI
162,Pinus palustris,Pinus,PIPA,PI
